Customer_ID,Age,Gender,Item_Purchased,Category,Purchase_Amount_(USD),Location,Size,Color,Season,Review_Rating,Subscription_Status,Shipping_Type,Discount_Applied,Promo_Code_Used,Previous_Purchases,Payment_Method,Frequency_of_Purchases,Loyalty_Score_A,Loyalty_Score_B,Satisfaction_Flag,Value_Tier,Retention_Rate_%,Dependency_Rate_%
17,25,Male,Sunglasses,Accessories,36,Alabama,S,Gray,Spring,4.1,Yes,Next Day Air,1,1,44,Debit Card,Bi-Weekly,1620,0.0,1,Low Value,88.24,88.24
18,53,Male,Dress,Clothing,38,Mississippi,XL,Lavender,Winter,4.7,Yes,2-Day Shipping,1,1,36,Venmo,Quarterly,1406,0.0,1,Low Value,72.55,72.55
19,52,Male,Sweater,Clothing,48,Montana,S,Black,Summer,4.6,Yes,Free Shipping,1,1,17,Cash,Weekly,864,0.0,1,Low Value,35.29,35.29
20,66,Male,Pants,Clothing,90,Rhode Island,M,Green,Summer,3.3,Yes,Standard,1,1,46,Debit Card,Bi-Weekly,4230,0.0,0,Low Value,92.16,92.16
21,21,Male,Pants,Clothing,51,Louisiana,M,Black,Winter,2.8,Yes,Express,1,1,50,Cash,Every 3 Months,2601,0.0,0,Low Value,100.0,100.0
22,31,Male,Pants,Clothing,62,North Carolina,M,Charcoal,Winter,4.1,Yes,Store Pickup,1,1,22,Debit Card,Quarterly,1426,0.0,1,Low Value,45.1,45.1
23,56,Male,Pants,Clothing,37,California,M,Peach,Summer,3.2,Yes,Store Pickup,1,1,32,Debit Card,Annually,1221,0.0,0,Low Value,64.71,64.71
24,31,Male,Pants,Clothing,88,Oklahoma,XL,White,Winter,4.4,Yes,Express,1,1,40,Credit Card,Weekly,3608,0.0,1,Low Value,80.39,80.39
25,18,Male,Jacket,Outerwear,22,Florida,M,Green,Fall,2.9,Yes,Store Pickup,1,1,16,Debit Card,Weekly,374,0.0,0,Low Value,33.33,33.33
26,18,Male,Hoodie,Clothing,25,Texas,M,Silver,Summer,3.6,Yes,Express,1,1,14,PayPal,Annually,375,0.0,0,Low Value,29.41,29.41
27,38,Male,Jewelry,Accessories,20,Nevada,M,Red,Spring,3.6,Yes,Next Day Air,1,1,13,Credit Card,Annually,280,0.0,0,Low Value,27.45,27.45
28,56,Male,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,5.0,Yes,Next Day Air,1,1,7,Bank Transfer,Every 3 Months,448,0.0,1,Low Value,15.69,15.69
29,54,Male,Handbag,Accessories,94,North Carolina,M,Gray,Fall,4.4,Yes,Free Shipping,1,1,41,PayPal,Every 3 Months,3948,0.0,1,Low Value,82.35,82.35
30,31,Male,Dress,Clothing,48,Wyoming,S,Black,Fall,4.1,Yes,Store Pickup,1,1,14,Credit Card,Weekly,720,0.0,1,Low Value,29.41,29.41
31,57,Male,Jewelry,Accessories,31,North Carolina,L,Black,Winter,4.7,Yes,Standard,1,1,16,Credit Card,Monthly,527,0.0,1,Low Value,33.33,33.33
32,33,Male,Dress,Clothing,79,West Virginia,L,Brown,Winter,4.7,Yes,Store Pickup,1,1,45,Venmo,Monthly,3634,0.0,1,Low Value,90.2,90.2
33,36,Male,Jacket,Outerwear,67,Kansas,M,Silver,Summer,4.9,Yes,Free Shipping,1,1,37,Venmo,Annually,2546,0.0,1,Low Value,74.51,74.51
34,54,Male,Pants,Clothing,38,Colorado,L,Green,Summer,3.3,Yes,Store Pickup,1,1,45,Cash,Quarterly,1748,0.0,0,Low Value,90.2,90.2
35,36,Male,T-shirt,Clothing,91,North Dakota,L,Violet,Spring,4.6,Yes,2-Day Shipping,1,1,38,PayPal,Quarterly,3549,0.0,1,Low Value,76.47,76.47
36,54,Male,Blouse,Clothing,33,Massachusetts,M,Cyan,Summer,4.0,Yes,2-Day Shipping,1,1,48,Credit Card,Bi-Weekly,1617,0.0,1,Low Value,96.08,96.08
37,35,Male,T-shirt,Clothing,69,Illinois,M,Maroon,Winter,4.6,Yes,Free Shipping,1,1,44,PayPal,Fortnightly,3105,0.0,1,Low Value,88.24,88.24
38,35,Male,Jeans,Clothing,45,Indiana,S,Cyan,Summer,2.8,Yes,Store Pickup,1,1,10,PayPal,Weekly,495,0.0,0,Low Value,21.57,21.57
39,29,Male,Dress,Clothing,37,Florida,M,Red,Winter,3.8,Yes,2-Day Shipping,1,1,44,Venmo,Every 3 Months,1665,0.0,0,Low Value,88.24,88.24
40,70,Male,Pants,Clothing,60,Arizona,S,Turquoise,Summer,4.2,Yes,Express,1,1,18,Credit Card,Monthly,1140,0.0,1,Low Value,37.25,37.25
41,69,Male,Handbag,Accessories,76,Louisiana,L,Beige,Winter,4.6,Yes,Next Day Air,1,1,31,Debit Card,Quarterly,2432,0.0,1,Low Value,62.75,62.75
42,67,Male,Scarf,Accessories,39,Alaska,M,Orange,Spring,4.5,Yes,Standard,1,1,40,Venmo,Annually,1599,0.0,1,Low Value,80.39,80.39
43,20,Male,Coat,Outerwear,100,Tennessee,M,Beige,Spring,4.1,Yes,Free Shipping,1,1,15,PayPal,Annually,1600,0.0,1,Low Value,31.37,31.37
44,25,Male,Scarf,Accessories,69,Ohio,L,Lavender,Fall,3.7,Yes,Store Pickup,1,1,19,PayPal,Fortnightly,1380,0.0,0,Low Value,39.22,39.22
45,39,Male,Hat,Accessories,53,Kentucky,S,Silver,Summer,4.6,Yes,Free Shipping,1,1,45,PayPal,Weekly,2438,0.0,1,Low Value,90.2,90.2
46,50,Male,Socks,Clothing,21,Tennessee,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,1,1,25,PayPal,Annually,546,0.0,0,Low Value,50.98,50.98
47,57,Male,Shirt,Clothing,43,California,L,White,Summer,2.9,Yes,Store Pickup,1,1,45,Cash,Quarterly,1978,0.0,0,Low Value,90.2,90.2
48,55,Male,Jewelry,Accessories,54,Montana,M,Charcoal,Winter,4.5,Yes,Free Shipping,1,1,36,Cash,Weekly,1998,0.0,1,Low Value,72.55,72.55
49,42,Male,Shirt,Clothing,55,Nevada,M,Orange,Summer,2.7,Yes,Store Pickup,1,1,38,Cash,Monthly,2145,0.0,0,Low Value,76.47,76.47
50,68,Male,Hoodie,Clothing,30,New Jersey,S,Indigo,Spring,4.6,Yes,Next Day Air,1,1,34,Debit Card,Bi-Weekly,1050,0.0,1,Low Value,68.63,68.63
51,49,Male,Blouse,Clothing,28,Maryland,M,Red,Spring,3.8,Yes,Store Pickup,1,1,39,Debit Card,Bi-Weekly,1120,0.0,0,Low Value,78.43,78.43
52,59,Male,Skirt,Clothing,59,Vermont,XL,Gray,Winter,4.7,Yes,2-Day Shipping,1,1,7,Credit Card,Quarterly,472,0.0,1,Low Value,15.69,15.69
53,42,Male,T-shirt,Clothing,20,Alaska,M,Green,Summer,2.6,Yes,Free Shipping,1,1,26,Credit Card,Weekly,540,0.0,0,Low Value,52.94,52.94
54,29,Male,Skirt,Clothing,24,Mississippi,S,Peach,Winter,3.9,Yes,Next Day Air,1,1,35,Credit Card,Weekly,864,0.0,0,Low Value,70.59,70.59
55,47,Male,Coat,Outerwear,94,New Mexico,M,Brown,Summer,4.2,Yes,Next Day Air,1,1,35,Debit Card,Bi-Weekly,3384,0.0,1,Low Value,70.59,70.59
56,40,Male,Jacket,Outerwear,28,South Carolina,M,Lavender,Winter,3.0,Yes,2-Day Shipping,1,1,49,Credit Card,Annually,1400,0.0,0,Low Value,98.04,98.04
57,41,Male,Backpack,Accessories,73,Mississippi,XL,Brown,Summer,4.7,Yes,Store Pickup,1,1,46,Credit Card,Weekly,3431,0.0,1,Low Value,92.16,92.16
58,21,Male,Coat,Outerwear,64,West Virginia,M,White,Summer,4.4,Yes,Store Pickup,1,1,17,Debit Card,Fortnightly,1152,0.0,1,Low Value,35.29,35.29
59,69,Male,Hoodie,Clothing,54,Missouri,M,Charcoal,Summer,4.2,Yes,Free Shipping,1,1,29,Venmo,Monthly,1620,0.0,1,Low Value,58.82,58.82
60,63,Male,Belt,Accessories,79,Louisiana,L,Yellow,Spring,4.6,Yes,Standard,1,1,4,Debit Card,Weekly,395,0.0,1,Low Value,9.8,9.8
61,50,Male,Sweater,Clothing,37,Idaho,L,Brown,Summer,4.0,Yes,Express,1,1,17,Cash,Weekly,666,0.0,1,Low Value,35.29,35.29
62,55,Male,Scarf,Accessories,68,Texas,M,Orange,Winter,4.7,Yes,Store Pickup,1,1,21,Credit Card,Every 3 Months,1496,0.0,1,Low Value,43.14,43.14
63,30,Male,Sneakers,Footwear,21,Mississippi,S,Magenta,Spring,3.8,Yes,Free Shipping,1,1,31,Credit Card,Fortnightly,672,0.0,0,Low Value,62.75,62.75
64,33,Male,Sunglasses,Accessories,79,Arizona,L,Lavender,Winter,2.7,Yes,2-Day Shipping,1,1,43,Credit Card,Weekly,3476,0.0,0,Low Value,86.27,86.27
65,65,Male,Boots,Footwear,83,Alabama,S,Green,Fall,4.8,Yes,Standard,1,1,18,Debit Card,Fortnightly,1577,0.0,1,Low Value,37.25,37.25
66,65,Male,Backpack,Accessories,36,New Jersey,M,Purple,Spring,4.8,Yes,2-Day Shipping,1,1,44,Venmo,Every 3 Months,1620,0.0,1,Low Value,88.24,88.24
67,31,Male,Blouse,Clothing,94,Pennsylvania,S,Magenta,Winter,4.7,Yes,2-Day Shipping,1,1,3,Venmo,Every 3 Months,376,0.0,1,Low Value,7.84,7.84
68,45,Male,Coat,Outerwear,33,Connecticut,L,Gray,Winter,4.4,Yes,Store Pickup,1,1,49,Debit Card,Monthly,1650,0.0,1,Low Value,98.04,98.04
69,57,Male,Handbag,Accessories,46,Utah,L,Silver,Summer,3.9,Yes,Next Day Air,1,1,21,Cash,Every 3 Months,1012,0.0,0,Low Value,43.14,43.14
70,48,Male,Belt,Accessories,70,Tennessee,S,Cyan,Summer,4.4,Yes,Express,1,1,5,Cash,Weekly,420,0.0,1,Low Value,11.76,11.76
71,22,Male,Belt,Accessories,29,Alabama,M,Magenta,Fall,4.2,Yes,Express,1,1,32,Debit Card,Every 3 Months,957,0.0,1,Low Value,64.71,64.71
72,36,Male,Dress,Clothing,48,Virginia,L,Gold,Summer,2.9,Yes,Express,1,1,34,Bank Transfer,Annually,1680,0.0,0,Low Value,68.63,68.63
73,18,Male,Dress,Clothing,26,Georgia,M,Olive,Winter,2.9,Yes,Store Pickup,1,1,21,Bank Transfer,Every 3 Months,572,0.0,0,Low Value,43.14,43.14
74,48,Male,Pants,Clothing,85,Hawaii,M,Teal,Spring,2.7,Yes,Free Shipping,1,1,43,Bank Transfer,Bi-Weekly,3740,0.0,0,Low Value,86.27,86.27
75,49,Male,Gloves,Accessories,58,Indiana,L,Violet,Spring,4.5,Yes,Express,1,1,3,Cash,Monthly,232,0.0,1,Low Value,7.84,7.84
76,64,Male,Scarf,Accessories,85,Utah,M,Blue,Summer,2.7,Yes,Free Shipping,1,1,21,Credit Card,Annually,1870,0.0,0,Low Value,43.14,43.14
77,50,Male,Hat,Accessories,43,Delaware,S,Teal,Summer,4.2,Yes,Free Shipping,1,1,32,Venmo,Monthly,1419,0.0,1,Low Value,64.71,64.71
78,22,Male,Dress,Clothing,53,Delaware,L,Gold,Summer,3.3,Yes,Next Day Air,1,1,36,Debit Card,Fortnightly,1961,0.0,0,Low Value,72.55,72.55
79,50,Male,Skirt,Clothing,91,Nebraska,M,Maroon,Spring,4.7,Yes,Free Shipping,1,1,50,Venmo,Fortnightly,4641,0.0,1,Low Value,100.0,100.0
80,38,Male,Jacket,Outerwear,96,Iowa,M,Olive,Winter,2.6,Yes,2-Day Shipping,1,1,43,Bank Transfer,Every 3 Months,4224,0.0,0,Low Value,86.27,86.27
81,19,Male,Sandals,Footwear,72,New York,XL,Blue,Summer,3.8,Yes,Store Pickup,1,1,24,Credit Card,Every 3 Months,1800,0.0,0,Low Value,49.02,49.02
82,67,Male,Shoes,Footwear,96,Virginia,L,Maroon,Summer,2.6,Yes,Express,1,1,36,Credit Card,Every 3 Months,3552,0.0,0,Low Value,72.55,72.55
83,19,Male,Pants,Clothing,28,Georgia,S,Olive,Spring,4.0,Yes,2-Day Shipping,1,1,21,Credit Card,Every 3 Months,616,0.0,1,Low Value,43.14,43.14
84,36,Male,Dress,Clothing,40,Texas,M,Turquoise,Summer,4.1,Yes,Standard,1,1,34,Bank Transfer,Weekly,1400,0.0,1,Low Value,68.63,68.63
85,52,Male,Coat,Outerwear,32,Arizona,S,Peach,Spring,4.4,Yes,Standard,1,1,42,Bank Transfer,Every 3 Months,1376,0.0,1,Low Value,84.31,84.31
86,53,Male,Sunglasses,Accessories,95,New Mexico,M,Charcoal,Winter,4.5,Yes,Next Day Air,1,1,2,Debit Card,Bi-Weekly,285,0.0,1,Low Value,5.88,5.88
87,24,Male,Hoodie,Clothing,41,Nevada,L,Pink,Spring,3.7,Yes,2-Day Shipping,1,1,47,Cash,Bi-Weekly,1968,0.0,0,Low Value,94.12,94.12
88,52,Male,Shoes,Footwear,53,Ohio,M,Green,Fall,3.7,Yes,2-Day Shipping,1,1,44,Debit Card,Fortnightly,2385,0.0,0,Low Value,88.24,88.24
89,33,Male,T-shirt,Clothing,47,Wyoming,M,Orange,Fall,3.5,Yes,Free Shipping,1,1,35,Credit Card,Monthly,1692,0.0,0,Low Value,70.59,70.59
90,47,Male,Jacket,Outerwear,83,California,XL,Pink,Fall,3.6,Yes,Next Day Air,1,1,15,Cash,Quarterly,1328,0.0,0,Low Value,31.37,31.37
91,25,Male,Hat,Accessories,48,South Carolina,L,Violet,Summer,2.9,Yes,Express,1,1,29,Credit Card,Monthly,1440,0.0,0,Low Value,58.82,58.82
92,44,Male,Scarf,Accessories,99,South Carolina,S,Green,Winter,4.6,Yes,Standard,1,1,18,Credit Card,Every 3 Months,1881,0.0,1,Low Value,37.25,37.25
93,61,Male,Jacket,Outerwear,87,Texas,M,Olive,Winter,4.4,Yes,2-Day Shipping,1,1,13,Venmo,Every 3 Months,1218,0.0,1,Low Value,27.45,27.45
94,37,Male,Sweater,Clothing,62,Florida,M,Purple,Fall,4.5,Yes,Standard,1,1,46,Credit Card,Weekly,2914,0.0,1,Low Value,92.16,92.16
95,58,Male,Skirt,Clothing,76,Nevada,S,Silver,Spring,4.6,Yes,Free Shipping,1,1,28,Credit Card,Weekly,2204,0.0,1,Low Value,56.86,56.86
96,37,Male,Sneakers,Footwear,100,Missouri,L,Pink,Fall,3.8,Yes,Free Shipping,1,1,48,PayPal,Monthly,4900,0.0,0,Low Value,96.08,96.08
97,32,Male,Gloves,Accessories,73,Delaware,S,Gold,Spring,3.8,Yes,Express,1,1,43,Venmo,Every 3 Months,3212,0.0,0,Low Value,86.27,86.27
98,21,Male,Shoes,Footwear,92,Virginia,M,Teal,Winter,4.8,Yes,Store Pickup,1,1,37,Cash,Annually,3496,0.0,1,Low Value,74.51,74.51
99,20,Male,Jeans,Clothing,67,New York,XL,Teal,Spring,2.6,Yes,Next Day Air,1,1,20,Bank Transfer,Annually,1407,0.0,0,Low Value,41.18,41.18
100,26,Male,Hoodie,Clothing,40,Missouri,XL,Indigo,Summer,3.7,Yes,Express,1,1,33,Debit Card,Quarterly,1360,0.0,0,Low Value,66.67,66.67
101,62,Male,Sunglasses,Accessories,98,South Dakota,M,Maroon,Fall,2.7,Yes,Express,1,1,31,Cash,Fortnightly,3136,0.0,0,Low Value,62.75,62.75
102,27,Male,Coat,Outerwear,85,North Dakota,XL,White,Spring,4.6,Yes,Express,1,1,50,Credit Card,Bi-Weekly,4335,0.0,1,Low Value,100.0,100.0
103,51,Male,Socks,Clothing,67,Oklahoma,L,Violet,Winter,4.8,Yes,Next Day Air,1,1,35,Credit Card,Quarterly,2412,0.0,1,Low Value,70.59,70.59
104,54,Male,Boots,Footwear,89,West Virginia,L,Red,Winter,4.0,Yes,Next Day Air,1,1,22,Venmo,Bi-Weekly,2047,0.0,1,Low Value,45.1,45.1
105,55,Male,Sunglasses,Accessories,24,New Hampshire,L,Pink,Spring,4.4,Yes,2-Day Shipping,1,1,1,PayPal,Monthly,48,0.0,1,Low Value,3.92,3.92
106,69,Male,Backpack,Accessories,96,New York,M,Charcoal,Fall,3.6,Yes,Next Day Air,1,1,4,Bank Transfer,Annually,480,0.0,0,Low Value,9.8,9.8
107,64,Male,Jacket,Outerwear,35,Minnesota,L,White,Summer,3.7,Yes,Standard,1,1,31,Credit Card,Monthly,1120,0.0,0,Low Value,62.75,62.75
108,28,Male,Sneakers,Footwear,67,Maryland,L,Olive,Winter,3.1,Yes,Next Day Air,1,1,46,PayPal,Fortnightly,3149,0.0,0,Low Value,92.16,92.16
109,70,Male,Socks,Clothing,79,Montana,L,Purple,Spring,3.4,Yes,Next Day Air,1,1,32,Bank Transfer,Bi-Weekly,2607,0.0,0,Low Value,64.71,64.71
110,58,Male,T-shirt,Clothing,85,Alabama,M,Violet,Spring,2.6,Yes,Next Day Air,1,1,43,Bank Transfer,Fortnightly,3740,0.0,0,Low Value,86.27,86.27
111,56,Male,Backpack,Accessories,26,New York,M,Black,Summer,4.0,Yes,Standard,1,1,26,Venmo,Fortnightly,702,0.0,1,Low Value,52.94,52.94
112,26,Male,Belt,Accessories,75,Massachusetts,L,Purple,Summer,5.0,Yes,Free Shipping,1,1,9,Credit Card,Annually,750,0.0,1,Low Value,19.61,19.61
113,37,Male,Gloves,Accessories,65,Florida,M,Red,Spring,4.3,Yes,Free Shipping,1,1,28,PayPal,Bi-Weekly,1885,0.0,1,Low Value,56.86,56.86
114,44,Male,Hat,Accessories,54,New Jersey,L,Maroon,Winter,3.1,Yes,Next Day Air,1,1,20,PayPal,Quarterly,1134,0.0,0,Low Value,41.18,41.18
115,70,Male,Coat,Outerwear,95,Massachusetts,S,Blue,Summer,3.7,Yes,Store Pickup,1,1,9,Cash,Weekly,950,0.0,0,Low Value,19.61,19.61
116,53,Male,Skirt,Clothing,94,Wyoming,M,Gray,Spring,3.8,Yes,Standard,1,1,48,Debit Card,Every 3 Months,4606,0.0,0,Low Value,96.08,96.08
117,55,Male,Shoes,Footwear,86,Virginia,S,Blue,Spring,3.4,Yes,Free Shipping,1,1,12,Venmo,Annually,1118,0.0,0,Low Value,25.49,25.49
118,50,Male,Sandals,Footwear,32,South Dakota,L,Yellow,Summer,4.6,Yes,Express,1,1,29,Cash,Fortnightly,960,0.0,1,Low Value,58.82,58.82
119,50,Male,Sweater,Clothing,45,Kentucky,L,Orange,Fall,4.8,Yes,2-Day Shipping,1,1,27,Cash,Bi-Weekly,1260,0.0,1,Low Value,54.9,54.9
120,38,Male,Coat,Outerwear,76,Wyoming,M,Orange,Fall,4.3,Yes,Express,1,1,44,Cash,Annually,3420,0.0,1,Low Value,88.24,88.24
121,64,Male,Hat,Accessories,84,West Virginia,L,Red,Summer,4.0,Yes,Express,1,1,32,Bank Transfer,Annually,2772,0.0,1,Low Value,64.71,64.71
122,19,Male,Shorts,Clothing,72,Virginia,M,Olive,Winter,4.2,Yes,Standard,1,1,11,Cash,Fortnightly,864,0.0,1,Low Value,23.53,23.53
123,40,Male,Backpack,Accessories,40,Washington,L,Brown,Spring,4.8,Yes,2-Day Shipping,1,1,44,Cash,Fortnightly,1800,0.0,1,Low Value,88.24,88.24
124,57,Male,Sweater,Clothing,89,Louisiana,L,Brown,Fall,3.1,Yes,Free Shipping,1,1,46,Cash,Weekly,4183,0.0,0,Low Value,92.16,92.16
125,44,Male,Sweater,Clothing,86,Nevada,M,Gray,Spring,3.1,Yes,Next Day Air,1,1,50,PayPal,Annually,4386,0.0,0,Low Value,100.0,100.0
126,49,Male,Shorts,Clothing,54,California,M,Indigo,Winter,3.6,Yes,Next Day Air,1,1,45,Venmo,Every 3 Months,2484,0.0,0,Low Value,90.2,90.2
127,43,Male,Shorts,Clothing,36,Mississippi,L,Pink,Spring,3.9,Yes,Store Pickup,1,1,48,Cash,Every 3 Months,1764,0.0,0,Low Value,96.08,96.08
128,24,Male,Sweater,Clothing,89,Mississippi,M,Gray,Winter,4.8,Yes,Next Day Air,1,1,26,Credit Card,Weekly,2403,0.0,1,Low Value,52.94,52.94
129,20,Male,Scarf,Accessories,32,California,M,Gold,Spring,4.7,Yes,Standard,1,1,21,Credit Card,Fortnightly,704,0.0,1,Low Value,43.14,43.14
130,24,Male,Dress,Clothing,67,Pennsylvania,XL,Olive,Summer,4.2,Yes,2-Day Shipping,1,1,49,PayPal,Bi-Weekly,3350,0.0,1,Low Value,98.04,98.04
131,44,Male,Scarf,Accessories,39,Kentucky,L,Violet,Fall,3.7,Yes,Next Day Air,1,1,13,PayPal,Fortnightly,546,0.0,0,Low Value,27.45,27.45
132,28,Male,Skirt,Clothing,29,Maine,L,Indigo,Summer,3.9,Yes,Standard,1,1,46,Credit Card,Weekly,1363,0.0,0,Low Value,92.16,92.16
133,30,Male,Backpack,Accessories,58,New Mexico,M,Orange,Fall,4.7,Yes,2-Day Shipping,1,1,42,PayPal,Weekly,2494,0.0,1,Low Value,84.31,84.31
134,52,Male,Sweater,Clothing,65,Montana,M,Violet,Winter,2.5,Yes,Next Day Air,1,1,25,Venmo,Annually,1690,0.0,0,Low Value,50.98,50.98
135,43,Male,Hat,Accessories,94,Texas,L,Gray,Fall,4.9,Yes,Store Pickup,1,1,25,Cash,Monthly,2444,0.0,1,Low Value,50.98,50.98
136,43,Male,Sandals,Footwear,81,Kansas,M,Purple,Fall,4.1,Yes,Express,1,1,12,PayPal,Quarterly,1053,0.0,1,Low Value,25.49,25.49
137,39,Male,Blouse,Clothing,86,South Carolina,M,White,Winter,3.3,Yes,Free Shipping,1,1,4,Debit Card,Quarterly,430,0.0,0,Low Value,9.8,9.8
138,68,Male,Sneakers,Footwear,43,Colorado,M,Turquoise,Spring,4.7,Yes,Free Shipping,1,1,38,PayPal,Weekly,1677,0.0,1,Low Value,76.47,76.47
139,68,Male,Skirt,Clothing,29,Georgia,M,Maroon,Winter,4.4,Yes,Store Pickup,1,1,42,Bank Transfer,Weekly,1247,0.0,1,Low Value,84.31,84.31
140,49,Male,Coat,Outerwear,95,Florida,M,White,Fall,3.8,Yes,Store Pickup,1,1,30,Venmo,Annually,2945,0.0,0,Low Value,60.78,60.78
141,63,Male,Shirt,Clothing,28,North Carolina,L,Yellow,Fall,3.9,Yes,2-Day Shipping,1,1,50,Credit Card,Weekly,1428,0.0,0,Low Value,100.0,100.0
142,56,Male,Gloves,Accessories,46,Virginia,M,Turquoise,Fall,4.9,Yes,Free Shipping,1,1,45,PayPal,Weekly,2116,0.0,1,Low Value,90.2,90.2
143,37,Male,Jacket,Outerwear,58,Nebraska,L,Violet,Fall,3.1,Yes,Free Shipping,1,1,33,Credit Card,Fortnightly,1972,0.0,0,Low Value,66.67,66.67
144,30,Male,Coat,Outerwear,48,Missouri,M,Beige,Fall,2.7,Yes,Store Pickup,1,1,25,PayPal,Quarterly,1248,0.0,0,Low Value,50.98,50.98
145,19,Male,Shoes,Footwear,43,New Jersey,M,Silver,Fall,3.2,Yes,Express,1,1,25,Cash,Monthly,1118,0.0,0,Low Value,50.98,50.98
146,24,Male,Jewelry,Accessories,95,Missouri,M,Teal,Fall,4.5,Yes,Standard,1,1,44,Debit Card,Quarterly,4275,0.0,1,Low Value,88.24,88.24
147,52,Male,Skirt,Clothing,30,Colorado,S,Black,Fall,4.0,Yes,Standard,1,1,21,Venmo,Fortnightly,660,0.0,1,Low Value,43.14,43.14
148,63,Male,Shoes,Footwear,64,Idaho,M,Purple,Summer,3.5,Yes,2-Day Shipping,1,1,31,Bank Transfer,Fortnightly,2048,0.0,0,Low Value,62.75,62.75
149,37,Male,Gloves,Accessories,90,Wyoming,M,Gray,Fall,2.6,Yes,Store Pickup,1,1,47,Debit Card,Annually,4320,0.0,0,Low Value,94.12,94.12
150,38,Male,Pants,Clothing,76,Delaware,M,White,Summer,3.2,Yes,Free Shipping,1,1,14,PayPal,Monthly,1140,0.0,0,Low Value,29.41,29.41
151,35,Male,Boots,Footwear,96,California,L,Cyan,Fall,4.9,Yes,Standard,1,1,17,Debit Card,Every 3 Months,1728,0.0,1,Low Value,35.29,35.29
152,28,Male,Sunglasses,Accessories,47,North Dakota,L,Turquoise,Fall,4.5,Yes,Next Day Air,1,1,3,Venmo,Annually,188,0.0,1,Low Value,7.84,7.84
153,30,Male,Shirt,Clothing,85,South Carolina,S,Brown,Summer,4.3,Yes,Express,1,1,42,Venmo,Annually,3655,0.0,1,Low Value,84.31,84.31
154,69,Male,Hoodie,Clothing,55,North Carolina,M,Maroon,Winter,3.2,Yes,Standard,1,1,22,Debit Card,Annually,1265,0.0,0,Low Value,45.1,45.1
